滞;zhì;TRỆ;"đình trệ; ngưng đọng; ứ đọng; không thông; kẹt lại";""
块;kuài;KHỐI;"viên; bánh; đống; khối; tấm; mảnh; miếng; chiếc; tờ; đồng (tiền đồng hoặc tiền giấy)";""
领;lǐng;LĨNH;"cổ áo; lĩnh, nhận";""
秦;Qín;TẦN;"nước Tần (thời nhà Chu, Trung Quốc); triều đại nhà Tần (221-206 trước công nguyên); Tần (tên gọi khác của tỉnh Thiểm Tây, Cam Túc); họ Tần";""
畅;chàng;SƯỚNG;"sướng, thích";""
闺;guī;KHUÊ;"cửa vòng cung; cửa hình vòm; khuê phòng; khuê (phòng ở của con gái thời xưa)";""
屠;tú;ĐỒ;"giết; mổ (gia súc); tàn sát; giết hại; giết hàng loạt";""
式;shì;THỨC;"kiểu; cách thức; định dạng; lễ; nghi thức; dạng; thể (ngữ pháp)";""
绝;jué;TUYỆT;"hết đường; tắc đường; đường cùng; vô song; tuyệt vời";"截 tiệt"
纲;gāng;CƯƠNG;"giềng lưới; giềng mối, cương (cơ sở chính yếu); bộ phận chủ yếu; cương (dùng trong văn kiện và ngôn luận); lớp (sinh vật); đoàn; đội (vận chuyển hàng hoá thời xưa)";""
免;miǎn;MIỄN;"bỏ, miễn, khỏi";""
戚;qī;THÍCH;"thương, xót; thân thích";""
审;shěn;THẨM;"xem xét; xét duyệt; kiểm tra; thẩm tra; thẩm; xét hỏi; thẩm vấn; biết rõ";""
吵;chǎo;SẢO;"cãi nhau; tranh cãi; làm ầm lên; cãi lộn ầm ĩ";""
扣;kòu;KHẤU;"khâu; cài; móc; gài; úp; đậy; chụp; giam; giữ; khấu trừ; trừ; đập; nhấn; kéo; đổ tội; gán danh; gán tội";""
至;zhì;CHÍ;"đến; tới";""
珠;zhū;CHÂU;"châu, ngọc trai";""
含;hán;HÀM;"ngậm; chứa; có; ngầm; kín đáo; thầm; trong lòng";""
匾;biǎn;BIỂN;"tấm biển; bức hoành; băng vải; cái mành tre";""
枉;wǎng;UỔNG;"tà, cong; oan uổng; uổng phí";""
捕;bǔ;BỔ;"bắt; đánh; vồ; tóm";""
亮;liàng;LƯỢNG;"sáng; bóng; vang; vang dội; kêu vang; rõ; rộng mở; cởi mở; sáng rõ; sáng suốt (tấm lòng, tư tưởng)";""
逛;guàng;CUỐNG;"đi dạo; dạo chơi; đi chơi; đi ngao du; mua; mua sắm";""
墅;shù;THỰ;"biệt thự; nhà tranh";""
透;tòu;THẤU;"thẩm thấu; thấu qua; xuyên qua; suốt qua; lọt qua; để lộ; tiết lộ; báo ngầm; lộ ra; hiện ra; hiển lộ";""
憎;zēng;TĂNG;"ghét; hận; căm ghét; ghét cay ghét đắng";""
耗;hào;HAO;"tiêu hao; hao; tốn; tốn kém; phí; hao tổn; cạn; kéo dài; lề mề";""
寃;yuān;OAN;"oan, uất ức do bị xử oan hoặc chịu thiệt không công bằng; chỉ trạng thái bị kết oan hoặc bị đối xử bất công";""
邪;xié;TÀ;"không đàng hoàng; không chính đáng";""
符;fú;PHÙ;"phù tiết (thẻ tre để làm tin); dấu; ký hiệu; dấu hiệu; bùa; bùa chú; lá bùa; họ Phù";""
侵;qīn;XÂM;"xâm nhập";""
奏;zòu;TẤU;"diễn tấu; tấu; biểu diễn; xảy ra; đạt được; lập nên; làm nên; tâu; tấu (vua)";""
逊;xùn;TỐN;"kém; không thể so sánh; so sánh không được; nhường ngôi";""
丧;sàng;TÁNG;"mất; mất đi";""
摄;shè;NHIẾP;"lấy; hút; hít; hấp thụ; nhiếp ảnh; chụp ảnh; bảo dưỡng; điều dưỡng; chăm sóc; thay quyền; thay thế";""
塞;sāi;TÁI.TẮC;"lấp; nhồi; nhét; bịt; vặn; vượt; vượt qua; vượt trội (dùng để so sánh)";""
婆;pó;BÀ;"bà già; bà cụ (chỉ người đàn bà lớn tuổi); bà; mụ (chỉ người đàn bà trong một nghề gì); mẹ chồng; bà; cụ (người thân)";""
露;lù;LỘ;"sương; nước (có được qua chưng cất)";""
敌;dí;ĐỊCH;"kẻ địch; bên địch; bọn địch; bọn giặc";""
闹;nào;NÁO;"cãi nhau; ồn ào; tranh cãi; tỏ ra (tức tối, bất mãn); phát tiết cảm xúc (giận, buồn...）; bị; mắc; gặp (bệnh tật, rủi ro); làm; nghịch; tiến hành; vòi; nghịch; quấy; quấy phá; gây rối; chơi đùa; đùa giỡn; đùa bỡn; chọc ghẹo";""
启;qǐ;KHẢI;"mở ra; bắt đầu";""
猛;měng;MÃNH;"mãnh liệt; mạnh mẽ; mãnh";""
账;zhàng;TRƯỚNG;"tài khoản; sổ kế toán; sổ sách; nợ; hóa đơn";""
烤;kǎo;KHẢO;"hơ; quay; sưởi; thui; nướng; sưởi ấm; hơ lửa sưởi ấm";""
烫;tàng;THANG;"bỏng; phỏng; sấy; hâm; là; ủi; uốn tóc";""
输;shū;THÂU;"thua; thất bại; quyên tặng; quyên góp; vận tải; vận chuyển; nhập (lệnh, dữ liệu, thông tin)";""
爽;shuǎng;SẢNG;"sướng; phê; đã; dễ chịu; sảng khoái; trong sáng; quang đãng; ngay thẳng; thẳng thắn";""
阀;fá;PHIỆT;"phiệt; cái van";""
紧;jǐn;KHẨN;"căng; kéo căng; săn; săn cón; chặt; kỹ; thốn; sít; sát; chặt chẽ; nghẹt; chật; liền; gấp; cấp bách; nối tiếp; eo hẹp; tù túng; túng thiếu (kinh tế)";""
赌;dǔ;ĐỔ;"đánh bạc; đánh bài; đánh cá; đánh cược; cá cược";""
斋;zhāi;TRAI;"chay; đồ chay; thức ăn chay; món chay; phòng; lầu; nhà";""
颂;sòng;TỤNG;"khen ngợi; ca tụng; ca ngợi; chúc mừng";""
驯;xùn;TUẦN;"thuần phục; lương thiện; hiền lành";""
付;fù;PHÓ;"chi; nộp; trả (tiền); nộp; đưa cho; gửi gắm; giao cho; giao phó";""
狂;kuáng;CUỒNG;"điên; khùng; cuồng; dại; điên cuồng; mãnh liệt; mạnh; hoang dã; tự do";""
雍;yōng;UNG;"hoà nhã; họ Ung";""
坠;zhuì;TRUỴ;"rơi; rớt; rơi xuống; ngã xuống; truỵ; rủ xuống; trĩu xuống";""
